"Population","mean","sD","min","max","n"
"Abernathy",10665856.5,3808026.70729883,6265768,17177871,8
"Adams",17477521.5714286,9449158.95256451,5768595,33666975,7
"Andreafsky",12904939.1666667,6468547.79672366,3960977,19412187,6
"Big Qualicum",19095491.125,14268421.1666769,3847743,42307970,8
"Big Salmon",15749788.5,11051511.6288017,5705118,39093990,8
"Birkenhead",22093898.875,7745378.42277307,12221610,38258641,8
"Blue",15159410.25,6799961.04919575,7040283,25502048,8
"Cariboo",19865087.2857143,11020253.3810823,9062552,35570273,7
"Cheakamus",10660973.1666667,8330334.00994573,3585517,26243944,6
"Cowichan",19474155.4,6613277.88437302,12154801,26529856,5
"Dean",19103205,10565835.4742962,4019851,35809852,7
"Dudidontu",16442698,12846448.5015385,4063335,39960954,7
"Duteau",12101663.2,4963628.06924368,3958108,16464833,5
"Ecstall",16851817.5714286,5846111.58109505,7525664,24722513,7
"Endako",10320885.4285714,6656423.99495096,3378937,23965346,7
"Harrison",15027908.7142857,8109364.54496947,4062935,29692387,7
"Hoole",16431754.5714286,12256332.9396083,3839427,34407428,7
"Imnaha",18667696.375,9711777.08978871,9447060,34434710,8
"Kaouk",14245924.2857143,8211783.11746494,4667294,24657103,7
"Kilbella",17653052.25,8453282.22439314,10117701,30618063,8
"Kildala",20340228.8571429,9138355.99717596,5998401,32197126,7
"Kincolith",18416977.6666667,8763145.72726921,5235971,27985598,6
"Kitlope",11399277,10805422.7365129,3245110,30832764,7
"Kitsumkalum",18923545.5,7399607.18009809,10374796,31881457,8
"Kitwanga",19550336.75,8446627.52785086,6244274,30824867,8
"Klinaklini",16946500.4,7057163.15669376,8339633,26945226,5
"Klondike",16235268,9920798.08079671,6593314,34456249,6
"Kwinageese",30462251.1428571,24892728.6124693,10416556,80231695,7
"Mayo",18404241.4285714,9047679.14133949,6160637,32280836,7
"Morley",21241939.8571429,12053194.3467219,5183413,42302789,7
"Moyeha",13030649,7241061.23695983,4943709,25815293,8
"Nahatlatch",12409811.2857143,8888714.79764114,3245550,29533451,7
"Nimpkish",16527632.125,5739001.01537873,9352561,26567715,8
"Nordenskiold",17585437.625,7906078.13117544,6438876,29239928,8
"Nusatsum",18047470.7142857,8657047.12845727,4453666,32761307,7
"Okanagan",17543894.1666667,9863161.64173893,6185196,27164643,6
"Phillips",20881795.25,10457350.3391494,8799214,41698116,8
"Portage",19400397.5,16239094.3434635,5588288,50277888,6
"Raft",18831592.2857143,17313272.3813212,3330245,44929036,7
"Salmon Fork",18343597.5714286,14001436.9712203,8285156,49168098,7
"San Juan",15227730.1428571,5356018.76337451,8634150,21373111,7
"Sarita",15606287.3333333,9435311.94464131,5120301,30292232,6
"Serpentine",19638805.5714286,9005451.63810216,3968641,32727051,7
"Seymour",19602903.5,8339709.75028919,6681642,30841486,8
"Siuslaw",16808981.25,5809269.88172868,10777053,25301398,8
"Slim",16391338.1428571,7291666.0942586,5175691,29361572,7
"Spius",27183952.8571429,10251369.5865622,17120451,40809871,7
"Sustut",8183727.16666667,5793676.55670312,3088214,16845278,6
"Swift",19805691,9364306.0274901,6331804,30547297,5
"Tahltan",15178601.8571429,8734041.48808209,3732871,27891464,7
"Takhanne",13850318.2,9641675.60618442,4262573,27073139,5
"Takhini",15569956,5738633.18902756,6613876,23361574,8
"Taseko",15394731.8333333,8855203.38882843,4392205,23864673,6
"Tincup",17499254.875,7308328.81624781,6180624,27515277,8
"Tozitna",23919606.6666667,9935022.24750269,16490193,43589838,6
"Trinity",19075269.25,8047676.93828587,5860082,32056215,8
"Upper Pitt",19843231.375,9238540.60997888,5326943,33107471,8
"Verrett",16703209.125,11090421.4815731,3324646,30932504,8
"Yakoun",16869726.875,7232492.65877776,3901023,29639634,8
"Yeth",19429444,6975503.95555657,8397487,30599093,7
